"VMName","VMHost","PrettyPath","VMCPU","VMMEM_GB","DiskName","ActualGB","AllocatedGB","Replication"
"AAM-DC-01","PSE1-HVH-305","PSE1-HVH-305\VOLUME1","2","6","AAM-DC-01_C","120","112.75","Replicating"
"AAM-SYNC-01","PSE1-HVH-305","PSE1-HVH-305\VOLUME1","2","4","AAM-SYNC-01_C","120","96.16","Not Configured"
"AJM-APP-DW-01","PSE1-HVH-302","PSE1-HVH-302\VOLUME3","8","64.02","AJM-APP-DW-01_F","250","229.88","Replicating"
"AJM-APP-DW-01","PSE1-HVH-302","PSE1-HVH-302\VOLUME3","8","64.02","AJM-APP-DW-01_E","550","497.19","Replicating"
"AJM-APP-DW-01","PSE1-HVH-302","PSE1-HVH-302\VOLUME3","8","64.02","AJM-APP-DW-01_C","120","105.1","Replicating"
"AJM-WEB-CS-01","PSE1-HVH-302","PSE1-HVH-302\VOLUME3","8","64","AJM-WEB-CS-01_C","120","111.35","Replicating"
"DNS03 - EKCO","PSE1-HVH-103","PSE1-HVH-103\VOLUME1","2","4","DNS03_C","120","83","Not Configured"
"IRRV-MFA-01","PSE1-HVH-305","PSE1-HVH-305\VOLUME1","4","4","IRRV-MFA-01_C","120","52.82","Not Configured"
"TOL-PROTEST-01","PSE1-HVH-305","PSE1-HVH-305\VOLUME2","2","8","TOL-PROTEST-01_C","141","122.35","Replicating"
"TOL-PROTEST-01","PSE1-HVH-305","PSE1-HVH-305\VOLUME2","2","8","TOL-PROTEST-01_E","550","309.97","Replicating"
"v42BRAD","PSE1-HVH-104","PSE1-HVH-104\VOLUME1","2","4","V42BRAD_DISK_1","120","86.1","Not Configured"
"WAC-DC02","PSE1-HVH-105","PSE1-HVH-105\VOLUME1","2","4","WAC-DC02","120","45.72","Not Configured"
"Z-VRA-PSE1-HVH-208.uk.ekcocloud.internal","PSE1-HVH-208","PSE1-HVH-208\VOLUME1","1","3","VRA_LOGS","10","9.99","Not Configured"
"Z-VRA-PSE1-HVH-208.uk.ekcocloud.internal","PSE1-HVH-208","PSE1-HVH-208\VOLUME1","1","3","VRA_BOOTSTRAP","1","0","Not Configured"
"Z-VRA-PSE1-HVH-208.uk.ekcocloud.internal","PSE1-HVH-208","PSE1-HVH-208\VOLUME1","1","3","VRA","2","2","Not Configured"
"Z-VRA-PSE1-HVH-208.uk.ekcocloud.internal","PSE1-HVH-208","PSE1-HVH-208\VOLUME1","1","3","VRA_DUMMY4","0","0","Not Configured"
"Z-VRA-PSE1-HVH-208.uk.ekcocloud.internal","PSE1-HVH-208","PSE1-HVH-208\VOLUME1","1","3","VRA_BIN","0.5","0.5","Not Configured"
